Domain,Base Domain,Canonical URL,Live,Redirect,Redirect To,Valid HTTPS,Defaults to HTTPS,Downgrades HTTPS,Strictly Forces HTTPS,HTTPS Bad Chain,HTTPS Bad Hostname,HTTPS Expired Cert,HTTPS Self Signed Cert,HSTS,HSTS Header,HSTS Max Age,HSTS Entire Domain,HSTS Preload Ready,HSTS Preload Pending,HSTS Preloaded,Base Domain HSTS Preloaded,Domain Supports HTTPS,Domain Enforces HTTPS,Domain Uses Strong HSTS,Unknown Error
partitodemocratico.it,partitodemocratico.it,https://www.partitodemocratico.it,True,False,,True,True,False,True,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
movimento5stelle.it,movimento5stelle.it,https://movimento5stelle.it,True,False,,False,True,False,True,False,False,False,False,False,,,False,False,False,False,False,False,False,False,True
leganord.org,leganord.org,http://leganord.org,False,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
forza-italia.it,forza-italia.it,http://forza-italia.it,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
radicali.it,radicali.it,http://www.radicali.it,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
ilpartitocomunistaitaliano.it,ilpartitocomunistaitaliano.it,http://www.ilpartitocomunistaitaliano.it,True,False,,True,False,False,False,False,False,False,False,False,,,False,False,False,False,False,True,False,False,False
sinistraecologialiberta.it,sinistraecologialiberta.it,http://www.sinistraecologialiberta.it,True,False,,True,False,False,False,False,False,False,False,False,,,False,False,False,False,False,True,False,False,False
alternativapopolare.it,alternativapopolare.it,http://www.alternativapopolare.it,True,False,,False,False,True,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,True
articolo1mdp.it,articolo1mdp.it,http://articolo1mdp.it,True,False,,True,False,False,False,False,False,False,False,False,,,False,False,False,False,False,True,False,False,False
udc-italia.it,udc-italia.it,http://www.udc-italia.it,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,True
rifondazione.it,rifondazione.it,http://rifondazione.it,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
italiadeivalori.it,italiadeivalori.it,http://italiadeivalori.it,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,True
partitopensionati.it,partitopensionati.it,http://www.partitopensionati.it,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
forzanuova.eu,forzanuova.eu,http://www.forzanuova.eu,True,False,,True,False,False,False,False,False,False,False,False,,,False,False,False,False,False,True,False,False,False
fratelli-italia.it,fratelli-italia.it,http://www.fratelli-italia.it,True,False,,False,False,True,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,True
democraziacristianaonline.info,democraziacristianaonline.info,http://www.democraziacristianaonline.info,True,False,,False,False,True,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,True
ladestra.com,ladestra.com,http://www.ladestra.com,True,True,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,True
partitoliberale.it,partitoliberale.it,https://www.partitoliberale.it,True,False,,True,True,False,False,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
nuovopsi.net,nuovopsi.net,http://nuovopsi.net,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
popolariperlitalia.org,popolariperlitalia.org,http://www.popolariperlitalia.org,True,False,,False,False,True,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,True
sceltacivica.it,sceltacivica.it,http://www.sceltacivica.it,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,True
sinistraitaliana.si,sinistraitaliana.si,http://www.sinistraitaliana.si,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,True
verdi.it,verdi.it,http://verdi.it,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,True
partitosocialista.it,partitosocialista.it,http://www.partitosocialista.it,True,False,,False,False,True,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,True
svp.eu,svp.eu,http://www.svp.eu,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
